Types of use,Baden-Württemberg (Area in sq km),Bayern (Area in sq km),Berlin (Area in sq km),Brandenburg (Area in sq km),Bremen (Area in sq km),Hamburg (Area in sq km),Hessen (Area in sq km),Mecklenburg-Vorpommern (Area in sq km),Niedersachsen (Area in sq km),Nordrhein-Westfalen (Area in sq km),Rheinland-Pfalz (Area in sq km),Saarland (Area in sq km),Sachsen (Area in sq km),Sachsen-Anhalt (Area in sq km),Schleswig-Holstein (Area in sq km),Thüringen (Area in sq km),Year
Area with special functional character,168.54,308.39,44.37,73.12,12.91,22.96,120.07,59.59,189.68,326.34,106.5,22.47,86.53,70.42,70.86,44.02,2021
"Sports, leisure and recreation area",384.13,564.53,119.99,333.63,40.62,64.96,263.64,374.28,544.65,878.59,315.79,34.3,290.68,511.7,198.98,388.2,2021
Public park,171.17,200.61,93.34,183.43,32.56,50.54,125.06,302.32,288.03,575.73,195.16,11.81,119.34,441.52,95.99,304.33,2021
Cemetery,37.07,42.19,10.97,23.27,3.04,8.39,29.53,13.75,43.06,89.76,21.15,6.53,17.35,18.17,13.46,11.09,2021
Transport,1993.72,3330.32,135.24,1083.65,51.64,92.7,1438.01,706.68,2485.05,2388.91,1229.95,162.09,817.54,790.65,697.67,700.4,2021
Road transport,989.0,1758.99,101.06,648.3,26.73,65.13,582.4,362.43,1330.73,1299.44,514.06,115.35,479.36,369.97,451.42,301.54,2021
Path,826.37,1299.92,5.52,272.24,11.45,5.48,722.91,238.11,946.65,827.2,616.28,26.58,197.5,320.97,168.89,327.22,2021
Square,38.78,58.64,3.78,16.6,1.5,1.97,23.77,12.22,42.18,63.61,28.13,3.9,16.78,14.69,14.58,10.26,2021
Rail transport,111.33,160.29,20.18,104.15,7.19,10.5,79.52,56.82,126.15,149.31,52.4,14.65,98.93,72.86,33.29,52.12,2021
Air transport,27.78,50.01,4.58,41.07,2.92,9.55,28.7,34.47,35.19,46.82,18.0,1.6,24.96,10.41,26.22,9.25,2021
Waterways transport,0.45,2.48,0.12,1.29,1.85,0.08,0.71,2.62,4.15,2.54,1.07,0.01,0.0,1.75,3.27,0.0,2021
Vegetation,30003.44,60534.52,203.61,25559.01,133.82,248.63,17395.48,19954.42,39718.67,25389.1,16621.38,1985.1,15249.75,17644.21,12879.7,14057.26,2021
Agriculture,16060.52,32544.71,35.51,14328.47,115.29,172.99,8748.81,14367.73,27630.41,15982.25,8067.8,1070.73,9937.78,12302.65,10800.65,8423.57,2021
Forest,13530.43,24924.36,157.76,10342.52,4.36,42.7,8415.62,4952.07,10326.94,8459.39,8077.83,874.81,4949.14,4607.69,1625.82,5407.52,2021
Trees and shrubs,186.56,923.67,7.55,321.89,7.13,19.32,139.85,229.57,637.43,655.79,426.55,27.55,102.27,522.37,61.73,138.75,2021
Heath,13.37,17.32,0.06,155.57,0.7,2.56,1.42,17.37,249.97,52.13,4.01,0.74,27.14,167.5,21.8,12.83,2021
Moor,20.08,127.32,0.45,5.46,0.35,1.94,0.83,30.96,509.82,12.74,1.68,0.02,0.61,1.18,87.39,0.47,2021
Mire,3.29,23.23,0.55,43.04,2.44,2.51,4.81,132.92,65.69,12.91,5.78,0.27,5.16,41.4,43.5,5.08,2021
"Infertile land, area without vegetation",189.18,1973.91,1.73,362.05,3.55,6.61,84.14,223.81,298.42,213.88,37.72,10.97,227.66,1.41,238.82,69.05,2021
Water body,392.84,1219.62,58.45,995.75,48.48,62.13,291.51,1337.37,1002.33,615.82,286.0,26.29,443.58,458.72,767.9,193.88,2021
Body of running water,283.96,503.63,29.99,343.68,38.08,42.99,217.46,202.45,623.51,316.95,217.98,20.2,145.1,249.27,279.64,95.78,2021
Port basin,5.17,1.69,0.6,0.74,5.57,7.26,1.35,6.19,11.98,8.26,4.49,0.14,0.53,1.99,17.95,0.0,2021
Body of standing water,103.71,714.3,27.87,651.33,4.83,7.62,72.7,937.02,342.22,290.61,63.53,5.96,297.96,207.45,355.0,98.11,2021
Sea,0.0,0.0,0.0,0.0,0.0,4.26,0.0,191.72,24.62,0.0,0.0,0.0,0.0,0.0,115.31,0.0,2021
Housing area,3372.11,5475.76,497.34,1983.1,187.18,347.81,1998.0,1294.64,4521.95,5731.06,1733.4,401.16,1964.79,1572.03,1469.2,1251.27,2022
Residential building area,1594.6,2240.78,223.84,689.46,69.97,169.53,929.13,402.57,2097.19,2461.89,756.11,209.25,882.04,404.78,695.59,332.67,2022
Industrial and commercial area,752.67,969.7,66.55,442.46,52.05,68.48,350.78,231.64,811.82,1034.78,305.73,78.34,367.21,313.58,207.32,259.37,2022
Industry and commerce,533.33,493.43,35.64,274.95,37.41,28.78,219.74,137.66,469.56,660.14,185.77,53.87,236.11,166.04,111.89,162.21,2022
Stockpile,13.73,3.6,0.07,5.59,0.49,0.02,9.36,0.47,11.64,34.08,3.92,5.37,20.44,21.51,2.03,6.69,2022
Mining company,0.0,0.07,0.0,0.0,0.0,0.0,0.05,0.0,0.2,6.09,0.01,0.0,0.0,1.25,0.0,2.07,2022
"Open-cast mine, pit, quarry",71.86,156.12,0.05,156.04,0.0,0.3,43.26,54.61,210.13,186.78,44.68,6.26,224.92,91.86,44.75,38.43,2022
Mixed-use area,347.55,1205.64,31.55,216.73,7.65,14.57,250.32,161.14,611.99,710.22,190.3,36.92,71.12,148.81,232.57,168.72,2022
Area with special functional character,168.69,291.82,45.03,73.25,12.92,22.47,119.47,55.66,190.03,327.67,107.18,23.4,86.77,64.08,71.48,44.44,2022
"Sports, leisure and recreation area",385.95,565.88,119.26,376.51,41.06,64.13,266.08,374.79,547.03,879.92,304.34,35.04,294.91,507.98,201.98,387.8,2022
Public park,172.5,201.72,93.01,224.63,32.79,49.79,126.4,302.3,290.79,577.95,183.49,11.24,119.16,441.53,97.51,303.7,2022
Cemetery,37.06,42.14,10.98,23.06,3.03,8.32,29.55,13.77,41.92,89.62,21.12,6.59,17.37,18.18,13.47,11.08,2022
Transport,1996.02,3338.19,131.83,1066.9,51.35,94.01,1420.68,709.93,2487.68,2392.94,1242.51,161.78,817.33,792.77,696.93,701.17,2022
Road transport,990.49,1763.91,101.07,625.92,26.57,64.87,582.04,362.37,1331.44,1296.71,515.35,115.0,479.75,369.73,445.78,302.39,2022
Path,826.94,1303.11,5.47,287.15,11.47,5.48,706.88,237.89,948.42,834.56,627.92,26.69,197.68,324.92,174.7,327.3,2022
Square,39.14,58.7,3.75,15.36,1.42,2.09,23.92,16.17,42.38,63.28,27.41,3.96,16.77,14.04,14.08,10.37,2022
Rail transport,111.23,160.14,20.13,100.57,7.17,10.5,77.71,56.54,125.94,148.81,52.31,14.64,98.19,71.94,33.12,52.05,2022
Air transport,27.76,49.85,1.28,36.64,2.91,9.52,29.41,34.32,35.33,46.99,18.3,1.49,24.94,10.4,26.19,9.07,2022
Waterways transport,0.45,2.47,0.12,1.25,1.81,1.55,0.71,2.65,4.17,2.58,1.22,0.01,0.0,1.73,3.06,0.0,2022
Vegetation,29985.71,60504.9,203.49,25581.31,133.01,251.11,17407.33,19951.8,39697.49,25372.32,16595.25,1982.06,15224.8,17644.44,12870.32,14056.68,2022
Agriculture,16038.05,32507.92,35.42,14233.23,113.95,172.65,8716.98,14355.92,27593.21,15950.91,8045.41,1032.26,9920.24,12286.71,10787.85,8416.48,2022
Forest,13531.34,24928.66,157.8,10360.96,4.36,42.62,8444.4,4955.54,10337.5,8464.03,8079.89,895.15,4941.21,4620.48,1625.46,5405.65,2022
Trees and shrubs,190.89,932.74,7.76,390.94,7.43,19.42,158.06,234.5,650.19,662.56,419.92,47.76,104.6,526.21,62.9,142.6,2022
Heath,13.43,16.43,0.06,162.07,0.71,2.49,1.36,17.38,248.43,51.99,4.21,0.6,27.18,165.05,21.79,12.8,2022
Moor,20.06,126.86,0.45,7.98,0.35,1.86,0.82,31.84,509.53,12.64,1.62,0.02,0.61,1.27,87.81,0.41,2022
Mire,3.33,23.6,0.55,43.96,2.41,2.55,4.87,134.8,67.31,12.9,5.66,0.27,5.16,42.95,44.42,5.36,2022
"Infertile land, area without vegetation",188.61,1968.68,1.46,382.18,3.82,9.53,80.85,221.82,291.32,217.28,38.54,6.0,225.8,1.77,240.09,73.37,2022
Water body,394.01,1222.73,58.46,1023.07,48.39,62.16,289.62,1337.53,1002.78,616.4,286.81,26.5,442.95,457.96,767.85,193.25,2022
Body of running water,284.29,502.34,29.99,345.14,38.07,42.98,215.14,202.64,622.13,315.54,217.97,19.5,144.28,248.98,281.99,95.27,2022
Port basin,5.17,1.7,0.6,0.74,5.58,7.26,1.35,6.22,11.99,8.15,4.45,0.14,0.53,1.94,17.88,0.0,2022
Body of standing water,104.54,718.69,27.87,677.19,4.74,7.66,73.13,936.77,344.03,292.71,64.39,6.87,298.14,207.04,352.64,97.98,2022
Sea,0.0,0.0,0.0,0.0,0.0,4.26,0.0,191.9,24.64,0.0,0.0,0.0,0.0,0.0,115.35,0.0,2022
